fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,exchange_code,exchange_name,avg_vol_3month,avg_vol_10day,total_net_assets,day50_moving_average,day200_moving_average,week52_high_low_change,week52_high_low_change_perc,week52_high,week52_high_change,week52_high_change_perc,week52_low,week52_low_change,week52_low_change_perc,investment_strategy,fund_yield,inception_date,annual_holdings_turnover,investment_type,size_type,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,asset_stocks,asset_bonds,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_book_ratio,fund_price_cashflow_ratio,fund_price_earning_ratio,fund_price_sales_ratio,fund_bond_maturity,fund_bond_duration,fund_bonds_us_government,fund_bonds_aaa,fund_bonds_aa,fund_bonds_a,fund_bonds_bbb,fund_bonds_bb,fund_bonds_b,fund_bonds_below_b,fund_bonds_others,top10_holdings,top10_holdings_total_assets,returns_as_of_date,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,years_up,years_down,fund_return_2020,fund_return_2019,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2015,fund_return_2014,fund_return_2013,fund_return_2012,fund_return_2011,fund_return_2010,fund_return_2009,fund_return_2008,fund_return_2007,fund_return_2006,fund_return_2005,fund_return_2004,fund_return_2003,fund_return_2002,fund_return_2001,fund_return_2000,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years
ELD,Applied Finance Explorer fund I,Applied Finance Explorer Fund Investor Shares,Emerging-Markets Local-Currency Bond,Applied Finance Advisors,PCX,NYSEArca,20761,18220.0,145182800.0,30.884,32.118,5.58,0.15925,35.04,-5.32,-0.15183,29.46,0.26,0.00883,"The investment seeks long-term capital appreciation. The fund invests primarily in the equity securities of small and middle capitalization companies. In choosing investments, the Adviser typically selects equity securities that the adviser believes offer superior return potential and may consider, among other factors, a company's valuation, projected future earnings, growth potential, recent performance, and business strategy. It may also invest in other investment companies (including exchange-traded funds (""ETFs"")).",0.0542,2010-08-09,0.29,None,None,0.0055,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TOIXX (""Federated Hermes Treasury Obl IS""): 0.0189, NGVT (""Ingevity Corp""): 0.0152, SGMS (""Scientific Games Corp Ordinary Shares""): 0.0146, ARNC (""Arconic Corp Ordinary Shares""): 0.0144, ESI (""Element Solutions Inc""): 0.0137, RLGY (""Realogy Holdings Corp""): 0.0131, UFPI (""UFP Industries Inc""): 0.0127, VG (""Vonage Holdings Corp""): 0.0126, ENVA (""Enova International Inc""): 0.0124, HRI (""Herc Holdings Inc""): 0.0121",0.1149,2021-06-30,-0.0264,0.0929,0.0042,0.0103,0.0455,0.0187,0.0866,0.0392,0.0268,-0.0012,5.0,5.0,0.01668,0.12935,-0.07718,0.1246,0.09909,-0.13648,-0.05435,-0.10388,0.13277,-0.01283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.64,0.36,3.51,11.74,0.27,3.92,0.41,0.83,0.26,6.52,10.4,0.19,1.76,-2.94,1.03,0.04,7.83,11.02,-0.01,-0.67
EMBH,Sustainable Equity Fund Class G,American Century Sustainable Equity Fund G Class,Emerging Markets Bond,American Century Investments,PCX,NYSEArca,1158,700.0,7190984.0,23.569,23.799,1.88,0.07578,24.81,-1.6371,-0.06599,22.93,0.2429,0.01059,"The investment seeks long-term capital growth; income is a secondary objective. The fund will generally invest in large capitalization companies the advisor believes show sustainable business improvement using a proprietary multi-factor model that combines fundamental measures of a stock's value and growth potential with ESG metrics. The model assigns each security a financial metrics score and an ESG score that are combined to create an overall score. To measure growth, the managers may use the rate of growth of a company's earnings and cash flow and changes in its earnings estimates.",0.0252,2015-07-22,0.04,None,None,0.0047,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.54,0.24,0.0,-0.0005,0.0484,0.1082,0.4699,0.1546,0.1548,0.0575,0.0072,"MSFT (""Microsoft Corp""): 0.0647, AAPL (""Apple Inc""): 0.0498, AMZN (""Amazon.com Inc""): 0.039, GOOGL (""Alphabet Inc A""): 0.0374, ""Future on S&P 500 PR Jun21"": 0.0253, HD (""The Home Depot Inc""): 0.0228, DIS (""The Walt Disney Co""): 0.022, JPM (""JPMorgan Chase & Co""): 0.0187, NEE (""NextEra Energy Inc""): 0.018, PLD (""Prologis Inc""): 0.0178",0.0655,2021-06-30,0.0181,0.1309,-0.0056,0.0048,0.0108,0.0351,0.1287,0.0209,0.0362,0.0,3.0,2.0,-0.02684,0.08204,-0.03771,0.09373,0.09369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.03,0.24,0.01,12.92,0.13,29.47,2.53,0.1,0.32,0.1,10.2,0.27,22.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMFM,Yorktown Multi-Asset Income Fun,Yorktown Multi-Sector Bond Fund Class L,Diversified Emerging Mkts,Yorktown Funds,PCX,NYSEArca,2001,1980.0,20654934.0,20.907,20.294,2.74,0.1275,21.49,-1.22,-0.05677,18.75,1.52,0.08107,"The investment seeks current income with limited credit risk. The fund invests in securities that, in the adviser's opinion, offer the opportunity for current income with limited credit risk. The adviser invests directly in equity or debt securities when the adviser believes attractive investment opportunities exist. The adviser may sell a security or redeem shares of an underlying fund given a variety of circumstances.",0.0241,2013-11-06,0.3166,Blend,Large,0.007,0.0056,0.9925,0.0,0.0679,0.156,0.0838,0.0923,0.0422,0.3006,0.0326,0.0716,0.0974,0.0,0.0555,1.9,9.26,18.28,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""The Hartford Financial Services Group, Inc. 2.28%"": 0.0127, ""Enstar Group Ltd 4.95%"": 0.0124, ""Everest Reinsurance Holdings, Inc. 2.54%"": 0.0121, ""Banco Bilbao Vizcaya Argentaria, S. A. 6.5%"": 0.0115, ""Kinross Gold Corporation 6.88%"": 0.0113, ""JPMorgan Chase & Co. 3.52%"": 0.0108, ""PPL Capital Funding Inc. 2.81%"": 0.0106, ""Lincoln National Corporation 2.23%"": 0.0103, ""Ohio National Financial Services 5.55%"": 0.0098, ""Intesa Sanpaolo S.p. A. 5.71%"": 0.0097",0.1696,2021-06-30,0.0577,0.1483,-0.0089,0.0101,0.0439,0.0704,0.2614,0.0131,0.0296,0.0,3.0,4.0,-0.03156,0.06053,-0.16219,0.31276,0.11033,-0.23291,-0.02648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62,0.97,0.22,86.01,18.43,0.08,-0.33,-7.08,1.0,0.38,81.5,16.21,0.21,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMHC,American Funds Mortgage Fund - ,American Funds Mortgage Fund Class F-3,Emerging Markets Bond,American Funds,PCX,NYSEArca,2993,3530.0,181181904.0,29.952,30.462,1.861,0.05992,31.057,-1.2981,-0.0418,29.196,0.5629,0.01928,"The investment seeks to provide current income and preservation of capital. Normally at least 80% of the fund's assets will be invested in mortgage-related securities, including securities collateralized by mortgage loans and contracts for future delivery of such securities (such as to be announced contracts and mortgage dollar rolls). The fund will invest primarily in mortgage-related securities that are sponsored or guaranteed by the U.S. government, such as securities issued by government-sponsored entities that are not backed by the full faith and credit of the U.S. government, and non-government mortgage-related securities.",0.0,2021-04-06,0.0,None,None,0.0023,0.0046,0.0,0.9991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Federal National Mortgage Association 1.5%"": 0.093, ""Government National Mortgage Association 2%"": 0.0389, ""Federal National Mortgage Association 2%"": 0.0237, ""Government National Mortgage Association 2.5%"": 0.0218, ""Federal Home Loan Banks 0%"": 0.0189, ""United States Treasury Bills 0%"": 0.0184",0.093,2021-06-30,0.0,0.1309,0.0094,0.0048,0.0,0.0351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMLC,Yorktown Growth Fund Class A,Yorktown Growth Fund Class A,Emerging-Markets Local-Currency Bond,Yorktown Funds,PCX,NYSEArca,2093629,1889090.0,3553029120.0,29.459,30.773,5.3,0.15811,33.52,-5.17,-0.15424,28.22,0.13,0.00461,"The investment seeks growth of capital. The fund invests in securities that, in the opinion of Yorktown Management & Research Company, Inc. (the ""Adviser""), offer the opportunity for growth of capital. It can include stocks of any size, within any sector, and at times the Adviser may emphasize one or more particular sectors. The fund may also invest in other U.S. and foreign securities, including securities convertible into common stock and securities issued through private placements, and securities issued by investment companies (""underlying funds"").",0.0492,2010-07-22,0.4,None,None,0.003,0.0055,0.0,0.9991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,5.09,0.0,0.0347,0.0388,0.1809,0.5174,0.1798,0.0298,0.0008,0.0177,"LOGN (""Logitech International SA""): 0.0113, GTN (""Gray Television Inc""): 0.0099, TYL (""Tyler Technologies Inc""): 0.0093, 02331 (""Li Ning Co Ltd""): 0.009, CRL (""Charles River Laboratories International Inc""): 0.0083, ENTG (""Entegris Inc""): 0.0083, EPAM (""EPAM Systems Inc""): 0.0083, TRMB (""Trimble Inc""): 0.0082, CACC (""Credit Acceptance Corp""): 0.008, VIAC (""ViacomCBS Inc Class B""): 0.0079",0.0939,2021-06-30,-0.0379,0.0929,-0.0114,0.0103,0.0355,0.0187,0.072,0.0329,0.0203,-0.0019,5.0,5.0,0.02923,0.10476,-0.07582,0.13982,0.08765,-0.14634,-0.05623,-0.08767,0.16236,-0.02873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.56,0.32,2.59,11.95,0.22,3.51,0.02,0.82,0.23,5.8,10.81,0.14,1.22,-2.99,1.05,0.05,7.22,11.7,-0.01,-0.72
EMNT,Alger International Focus Fund ,Alger International Focus Fund Class B,Ultrashort Bond,Alger,PCX,NYSEArca,9703,20800.0,152999856.0,100.543,100.637,1.03,0.01021,100.87,-0.485,-0.00481,99.84,0.54501,0.00546,"The investment seeks long-term capital appreciation. Under normal circumstances, the fund invests at least 80% of its net assets in equity securities, including common stocks, American Depositary Receipts and Global Depositary Receipts, of foreign companies. It generally invests in at least three foreign countries, and, at times, may invest a substantial portion of its assets in a single foreign country.",0.0097,2019-12-10,1.02,None,None,0.0024,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ASML (""ASML Holding NV""): 0.0383, MC. PA (""LVMH Moet Hennessy Louis Vuitton SE""): 0.0336, MONC. MI (""Moncler SpA""): 0.0322, ERF. PA (""Eurofins Scientific SE""): 0.0292, EQT (""EQT AB Ordinary Shares""): 0.0282, RACE. MI (""Ferrari NV""): 0.028, TSM. TW (""Taiwan Semiconductor Manufacturing Co Ltd ADR""): 0.0279, 6954 (""Fanuc Corp""): 0.0277, 005930. KS (""Samsung Electronics Co Ltd""): 0.0272, 6981 (""Murata Manufacturing Co Ltd""): 0.027",0.202,2021-06-30,0.0021,0.0107,-0.0001,0.0007,0.0017,0.0038,0.01,0.0,0.0,0.0,1.0,0.0,0.02084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMSG,Alger Global Focus Fund Class Z,Alger Global Focus Fund Class Z,Diversified Emerging Mkts,Alger,PCX,NYSEArca,4422,5900.0,17583894.0,32.605,33.761,6.84,0.18167,37.65,-6.7625,-0.17961,30.81,0.0775,0.00252,"The investment seeks long-term capital appreciation. Under normal circumstances, the fund invests at least 80% of its net assets, plus any borrowings for investment purposes, in equity securities, including common stocks, American Depositary Receipts and Global Depositary Receipts, of global companies, which include both U.S. and foreign companies, and invests significantly (at least 40% - unless market conditions are not deemed favorable, in which case the fund would invest at least 30%) in foreign companies. It may invest in companies of any market capitalization, from large, well-established companies to small, emerging growth companies.",0.0065,2018-12-04,0.17,Blend,Large,0.002,0.0056,0.9953,0.0,0.0665,0.1533,0.2029,0.0488,0.0491,0.1645,0.0466,0.0365,0.022,0.1966,0.0133,2.52,13.67,19.81,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MSFT (""Microsoft Corp""): 0.0552, AMZN (""Amazon.com Inc""): 0.0539, AMAT (""Applied Materials Inc""): 0.0457, MC. PA (""LVMH Moet Hennessy Louis Vuitton SE""): 0.0362, ADBE (""Adobe Inc""): 0.0353, NVDA (""NVIDIA Corp""): 0.0343, MONC. MI (""Moncler SpA""): 0.032, ERF. PA (""Eurofins Scientific SE""): 0.0308, PODD (""Insulet Corp""): 0.0295, MSCI (""MSCI Inc""): 0.0293",0.4082,2021-06-30,0.1005,0.1483,0.02,0.0101,0.0421,0.0704,0.419,0.0,0.0,0.0,2.0,0.0,0.19884,0.19149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMSH,"Fundamental Investors, Class C ",American Funds Fundamental Investors Class C,Emerging Markets Bond,American Funds,BTS,BATS,1095,1700.0,7337642.0,72.511,73.148,2.33,0.03156,73.83,-2.23,-0.0302,71.5,0.1,0.0014,The investment seeks long-term growth of capital and income. The fund invests primarily in common stocks of companies that appear to offer superior opportunities for capital growth and most of which have a history of paying dividends. It may invest significantly in securities of issuers domiciled outside the United States. The investment adviser uses a system of multiple portfolio managers in managing the fund's assets.,0.0282,2013-11-19,0.0,None,None,0.005,0.0046,0.0,0.9966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MSFT (""Microsoft Corp""): 0.0491, AVGO (""Broadcom Inc""): 0.0404, FB (""Facebook Inc Class A""): 0.0347, AMZN (""Amazon.com Inc""): 0.0232, CMCSA (""Comcast Corp Class A""): 0.0189, PM (""Philip Morris International Inc""): 0.0186, GOOG (""Alphabet Inc Class C""): 0.0168, NFLX (""Netflix Inc""): 0.0155, ""Capital Group Central Cash Fund"": 0.0154, MO (""Altria Group Inc""): 0.0152",0.3228,2021-06-30,0.0128,0.1309,-0.0008,0.0048,0.0149,0.0351,0.0472,0.0276,0.0233,0.0,5.0,2.0,0.00991,0.05075,-0.00458,0.03329,0.07884,0.06689,-0.02431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.3,0.23,3.92,5.13,0.31,5.0,0.62,0.33,0.2,6.64,4.13,0.3,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMTY,AllianzGI International Value F,Virtus NFJ International Value Fund Class A,Trading--Inverse Equity,Virtus,PCX,NYSEArca,6532,5690.0,6380121.0,15.178,16.231,9.789,0.41655,23.5,-8.6133,-0.36652,13.711,1.1757,0.08575,"The investment seeks long-term growth of capital and income. The fund normally invests at least 65% of its net assets (plus borrowings made for investment purposes) in common stocks and other equity securities (such as preferred stocks, convertible securities and warrants) of non-U.S. companies with market capitalizations greater than $1 billion. It normally invests significantly in securities that the portfolio managers expect will generate income (for example, by paying dividends).",0.0,2017-11-14,0.0,None,None,0.0066,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LKOD (""PJSC Lukoil ADR""): 0.0448, ME8U.S. (""Mapletree Industrial Trust""): 0.0387, 03968 (""China Merchants Bank Co Ltd Class H""): 0.0376, 002475 (""Luxshare Precision Industry Co Ltd""): 0.0369, 005935. KS (""Samsung Electronics Co Ltd Participating Preferred""): 0.0368, 09988 (""Alibaba Group Holding Ltd Ordinary Shares""): 0.0356, AVGO (""Broadcom Inc""): 0.0338, DGCXX (""Dreyfus Government Cash Mgmt Instl""): 0.0334, LSEG. L (""London Stock Exchange Group PLC""): 0.0314, RIO. L (""Rio Tinto PLC""): 0.0304",0.9989,2021-06-30,-0.3015,0.0,-0.0341,0.0,-0.0862,0.0,-0.497,-0.2,0.0,0.0,1.0,2.0,-0.318,-0.08353,0.10604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,-1.38,-1.5,69.35,30.89,-0.62,15.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMXC,AllianzGI International Value F,Virtus NFJ International Value Fund Class C,Diversified Emerging Mkts,Virtus,NGM,NasdaqGM,400225,270440.0,835443904.0,61.143,61.071,9.28,0.14559,63.74,-3.59,-0.05632,54.46,5.69,0.10448,"The investment seeks long-term growth of capital and income. The fund normally invests at least 65% of its net assets (plus borrowings made for investment purposes) in common stocks and other equity securities (such as preferred stocks, convertible securities and warrants) of non-U.S. companies with market capitalizations greater than $1 billion. It normally invests significantly in securities that the portfolio managers expect will generate income (for example, by paying dividends).",0.0137,2017-07-18,0.18,Blend,Large,0.0025,0.0056,0.0,0.0,0.1192,0.0823,0.0619,0.0584,0.0738,0.2074,0.0325,0.0406,0.0092,0.2947,0.0198,1.98,9.21,17.83,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LKOD (""PJSC Lukoil ADR""): 0.0448, ME8U.S. (""Mapletree Industrial Trust""): 0.0387, 03968 (""China Merchants Bank Co Ltd Class H""): 0.0376, 002475 (""Luxshare Precision Industry Co Ltd""): 0.0369, 005935. KS (""Samsung Electronics Co Ltd Participating Preferred""): 0.0368, 09988 (""Alibaba Group Holding Ltd Ordinary Shares""): 0.0356, AVGO (""Broadcom Inc""): 0.0338, DGCXX (""Dreyfus Government Cash Mgmt Instl""): 0.0334, LSEG. L (""London Stock Exchange Group PLC""): 0.0314, RIO. L (""Rio Tinto PLC""): 0.0304",0.2673,2021-06-30,0.1015,0.1483,0.0066,0.0101,0.0534,0.0704,0.4776,0.1134,0.0,0.0,2.0,1.0,0.12805,0.15646,-0.12735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.14,1.09,88.73,21.28,0.56,8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMXF,Angel Oak Financials Income Fun,Angel Oak Financials Income Fund Class C,None,Angel Oak,NGM,NasdaqGM,3522,2020.0,12974914.0,44.145,44.521,6.45,0.13686,47.13,-3.9741,-0.08432,40.68,2.4759,0.06086,"The investment seeks current income with a secondary objective of total return. The fund invests primarily in debt issued by financial institutions, including subordinated debt (""sub-debt""), senior debt, preferred securities, high yield securities and trust-preferred securities (""TruPS""). It will under normal circumstances, invest at least 80% of the value of its net assets plus the amount of any borrowings for investment purposes in the securities of financial institutions (measured at the time of purchase).",0.0,2020-10-06,0.0,Blend,Large,0.0016,0.0,0.9962,0.0,0.0399,0.1281,0.1196,0.0502,0.0,0.3275,0.0503,0.0284,0.0175,0.2337,0.0048,2.04,13.68,18.62,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FGUXX (""First American Government Obligs U""): 0.0315, ""Kingstone Companies Inc 5.5%"": 0.0265, ""NexBank Capital, Inc. 4.47%"": 0.0217, ""Marble Point Loan Financing Ltd / MPLF Funding I Llc 7.5%"": 0.0213, ""HomeStreet, Inc. 6.5%"": 0.0203, ""Happy Bancshares Inc 5.5%"": 0.0198, ""First Business Fin 5.5%"": 0.0191, ""Fidelity Financial Corp 5.75%"": 0.019, ""Trinitas Capital Management Llc 7.75%"": 0.019, ""RBB Bancorp 4%"": 0.0189",0.2644,2021-03-31,0.0424,0.0,0.0042,0.0,0.0424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENFR,Anfield Universal Fixed Income ,Anfield Universal Fixed Income Fund Class A,Energy Limited Partnership,Anfield,PCX,NYSEArca,17617,33550.0,70241840.0,20.312,19.118,7.23,0.33303,21.71,-3.24,-0.14924,14.48,3.99,0.27555,"The investment seeks current income. The fund normally invests at least 80% of its net assets, including any borrowings for investment purposes, in a diversified portfolio of fixed income instruments. The principal investments of the fund include corporate bonds, U.S. government and agency securities, master-limited partnerships (""MLPs"") (tied to energy-related commodities), preferred securities, private debt, foreign sovereign bonds, convertible securities, bank loans, mortgage-backed securities, and cash equivalent instruments.",0.0562,2013-10-31,0.0,Value,Medium,0.0035,0.0074,0.997,0.0,0.0,0.0,0.0,0.0,0.9797,0.0,0.0,0.0203,0.0,0.0,0.0,2.14,6.19,17.46,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FFRHX (""Fidelity© Floating Rate High Income""): 0.0535, VFSUX (""Vanguard Short-Term Investment-Grade Adm""): 0.0532, VWEAX (""Vanguard High-Yield Corporate Adm""): 0.0503, ""CIT Group, Inc. 5.8%"": 0.0276, ""Dupont De Nemours Inc 2.17%"": 0.0224, ""Aramark Services Inc. Floating Rate Due 04/1/2028"": 0.0216, ""General Motors Financial Company Inc 4.2%"": 0.0183, ""Citigroup Inc. 5.95%"": 0.0176, ""Oaktree CLO Ltd. 6.49%"": 0.0175, ""ECP CLO 2015-7 LTD/LLC 2.16%"": 0.0172",0.6326,2021-06-30,0.4212,0.154,0.0452,-0.0399,0.1809,-0.014,0.5545,0.0299,0.0377,0.0,3.0,4.0,-0.24216,0.21237,-0.18317,-0.00024,0.42007,-0.37311,0.12689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.21,1.76,0.89,70.06,37.8,0.25,1.0,-15.28,1.67,0.72,64.35,30.27,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTR,Anfield Universal Fixed Income ,Anfield Universal Fixed Income Fund Class I,None,Anfield,PCX,NYSEArca,8319,41270.0,132549944.0,26.007,25.471,11.11,0.34069,32.61,-9.0591,-0.2778,21.5,2.0509,0.09539,"The investment seeks current income. The fund normally invests at least 80% of its net assets, including any borrowings for investment purposes, in a diversified portfolio of fixed income instruments. The principal investments of the fund include corporate bonds, U.S. government and agency securities, master-limited partnerships (""MLPs"") (tied to energy-related commodities), preferred securities, private debt, foreign sovereign bonds, convertible securities, bank loans, mortgage-backed securities, and cash equivalent instruments.",0.0685,2017-11-07,1.3,Growth,Large,0.0049,0.0,0.0,0.0,0.0241,0.2346,0.0783,0.0,0.0203,0.0489,0.1469,0.0549,0.0,0.3921,0.0,6.63,25.87,30.29,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FFRHX (""Fidelity© Floating Rate High Income""): 0.0535, VFSUX (""Vanguard Short-Term Investment-Grade Adm""): 0.0532, VWEAX (""Vanguard High-Yield Corporate Adm""): 0.0503, ""CIT Group, Inc. 5.8%"": 0.0276, ""Dupont De Nemours Inc 2.17%"": 0.0224, ""Aramark Services Inc. Floating Rate Due 04/1/2028"": 0.0216, ""General Motors Financial Company Inc 4.2%"": 0.0183, ""Citigroup Inc. 5.95%"": 0.0176, ""Oaktree CLO Ltd. 6.49%"": 0.0175, ""ECP CLO 2015-7 LTD/LLC 2.16%"": 0.0172",0.3711,2021-05-31,-0.0785,0.0,-0.0327,0.0,-0.097,0.0,0.2377,0.1475,0.0,0.0,2.0,1.0,0.50361,0.31655,-0.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.96,1.07,1.39,70.47,23.67,0.65,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
